Step,Loss
10,0.0949
20,0.169
30,0.075
40,0.1223
50,0.0586
60,0.0837
70,0.0951
80,0.0909
90,0.1179
100,0.1046
110,0.088
120,0.0822
130,0.0669
140,0.087
150,0.0767
160,0.0296
170,0.0985
180,0.1207
190,0.1312
200,0.0611
210,0.0754
220,0.0608
230,0.1018
240,0.1124
250,0.0245
260,0.0997
270,0.0692
280,0.1372
290,0.0871
300,0.1249
310,0.0508
320,0.0755
330,0.08
340,0.0943
350,0.0926
360,0.0749
370,0.0296
380,0.06
390,0.0679
400,0.0392
410,0.0599
420,0.0435
430,0.1062
440,0.0732
450,0.0734
460,0.0508
470,0.0832
480,0.0509
490,0.0235
500,0.1268
510,0.0571
520,0.05
530,0.0855
540,0.0544
550,0.0973
560,0.0598
570,0.0653
580,0.0572
590,0.0592
600,0.0848
