Step,Loss
10,0.9433
20,0.8782
30,0.781
40,0.7325
50,0.7364
60,0.6435
70,0.6265
80,0.5047
90,0.5734
100,0.5993
110,0.6077
120,0.6208
130,0.5875
140,0.6374
150,0.5996
160,0.4205
170,0.5331
180,0.5537
190,0.6752
200,0.4204
210,0.4311
220,0.5565
230,0.5438
240,0.7148
250,0.5002
260,0.5404
270,0.4696
280,0.4294
290,0.3806
300,0.5876
310,0.5201
320,0.4987
330,0.4556
340,0.6515
350,0.6405
360,0.4496
370,0.3668
380,0.4034
390,0.5153
400,0.4387
410,0.4403
420,0.3331
430,0.5646
440,0.497
450,0.4583
460,0.5151
470,0.4365
480,0.5731
490,0.3156
500,0.4759
510,0.4354
520,0.4482
530,0.4813
540,0.461
550,0.5461
560,0.4352
570,0.5313
580,0.4315
590,0.4653
600,0.4255
